Date,Open,High,Low,Close,Adj Close,Volume
2012/10/31,1410.98999,1418.76001,1405.949951,1412.160034,1412.160034,3577110000
2012/11/1,1412.199951,1428.349976,1412.199951,1427.589966,1427.589966,3929890000
2012/11/2,1427.589966,1434.27002,1412.910034,1414.199951,1414.199951,3732480000
2012/11/5,1414.02002,1419.900024,1408.130005,1417.26001,1417.26001,2921040000
2012/11/6,1417.26001,1433.380005,1417.26001,1428.390015,1428.390015,3306970000
2012/11/7,1428.27002,1428.27002,1388.140015,1394.530029,1394.530029,4356490000
2012/11/8,1394.530029,1401.22998,1377.51001,1377.51001,1377.51001,3779520000
2012/11/9,1377.550049,1391.390015,1373.030029,1379.849976,1379.849976,3647350000
2012/11/12,1379.859985,1384.869995,1377.189941,1380.030029,1380.030029,2567540000
2012/11/13,1380.030029,1388.810059,1371.390015,1374.530029,1374.530029,3455550000
2012/11/14,1374.640015,1380.130005,1352.5,1355.48999,1355.48999,4109510000
2012/11/15,1355.410034,1360.619995,1348.050049,1353.329956,1353.329956,3928870000
2012/11/16,1353.359985,1362.030029,1343.349976,1359.880005,1359.880005,4045910000
2012/11/19,1359.880005,1386.890015,1359.880005,1386.890015,1386.890015,3374800000
2012/11/20,1386.819946,1389.77002,1377.040039,1387.810059,1387.810059,3207160000
2012/11/21,1387.790039,1391.25,1386.390015,1391.030029,1391.030029,2667090000
2012/11/23,1391.030029,1409.160034,1391.030029,1409.150024,1409.150024,1504960000
2012/11/26,1409.150024,1409.150024,1397.680054,1406.290039,1406.290039,2948960000
2012/11/27,1406.290039,1409.01001,1398.030029,1398.939941,1398.939941,3323120000
2012/11/28,1398.77002,1410.310059,1385.430054,1409.930054,1409.930054,3359250000
